date,open,high,low,close,volume,quote_volume
2022-02-17,1.083,1.094,1.008,1.02,114535761.9,120519433.2696
2022-02-18,1.019,1.043,0.983,0.995,133614248.4,135340040.6369
2022-02-19,0.996,1.019,0.973,0.996,92102940.7,91691271.9142
2022-02-20,0.997,0.998,0.919,0.931,156774619.1,148159415.5595
2022-02-21,0.931,0.993,0.851,0.856,283488504.31,262678267.439046
2022-02-22,0.856,0.897,0.813,0.888,264842040.57,226538695.654874
2022-02-23,0.888,0.96,0.863,0.866,237719675.9,217317574.2134
2022-02-24,0.866,0.899,0.746,0.853,560130978.58,450115675.741591
2022-02-25,0.852,0.91,0.823,0.898,210840757.4,182133681.2225
2022-02-26,0.898,0.93,0.881,0.887,142052119.7,128478270.2374
2022-02-27,0.886,0.915,0.832,0.856,162004634.9,141268322.6367
2022-02-28,0.857,0.97,0.842,0.962,227929558.7,206628176.2753
2022-03-01,0.962,1.011,0.939,0.963,234764266.6,227552504.5608
2022-03-02,0.964,0.977,0.927,0.939,149491898.8,142500770.6719
2022-03-03,0.938,0.946,0.883,0.903,114772747.9,104789950.5144
2022-03-04,0.902,0.903,0.826,0.844,147015719.3,127682736.9868
2022-03-05,0.844,0.883,0.818,0.864,78739554.5,67279606.7473
2022-03-06,0.865,0.872,0.819,0.823,76546559.4,64450087.9814
2022-03-07,0.822,0.847,0.777,0.793,132873670.6,108036356.9915
2022-03-08,0.793,0.821,0.787,0.802,124187499.5,99745823.8482
2022-03-09,0.802,0.863,0.799,0.849,114971836.5,96603126.3741
2022-03-10,0.849,0.854,0.785,0.807,115081098.3,93120654.8534
2022-03-11,0.806,0.819,0.782,0.788,101514757.7,80994331.7712
2022-03-12,0.788,0.802,0.786,0.789,50466434.4,40094234.3481
2022-03-13,0.789,0.821,0.78,0.786,88733691.2,70913375.733
2022-03-14,0.787,0.816,0.776,0.802,104141955.4,83119494.6767
2022-03-15,0.803,0.817,0.781,0.8,95462205.5,76242142.1216
2022-03-16,0.8,0.84,0.792,0.838,160796978.5,130862784.2482
2022-03-17,0.839,0.858,0.827,0.835,106462948.2,89780881.3519
2022-03-18,0.835,0.86,0.82,0.851,82865732.3,69473720.7252
2022-03-19,0.851,0.916,0.85,0.903,114266368.8,101043393.8596
2022-03-20,0.902,0.916,0.864,0.879,93008770.9,82605912.6887
2022-03-21,0.879,0.93,0.863,0.917,115815047.2,104344596.3265
2022-03-22,0.917,0.988,0.907,0.975,172058469.4,164577626.0288
2022-03-23,0.975,1.11,0.957,1.108,362447245.1,376836453.7238
2022-03-24,1.108,1.19,1.076,1.131,390982460.0,445651286.5284
2022-03-25,1.13,1.167,1.072,1.096,290456883.7,324802638.2671
2022-03-26,1.096,1.16,1.079,1.152,143117986.1,161024339.18
2022-03-27,1.152,1.186,1.104,1.184,135043361.8,154469498.2835
2022-03-28,1.184,1.246,1.157,1.17,261105698.6,313807434.4856
2022-03-29,1.17,1.243,1.166,1.191,180298618.0,217154215.415
2022-03-30,1.191,1.218,1.161,1.189,146032640.3,173764772.7865
2022-03-31,1.189,1.228,1.133,1.141,177164788.1,209017789.907
2022-04-01,1.141,1.175,1.104,1.165,191221298.9,218746166.9028
2022-04-02,1.165,1.195,1.145,1.155,107106263.9,125668411.1632
2022-04-03,1.156,1.2,1.142,1.186,78660058.3,92317779.5635
2022-04-04,1.186,1.245,1.16,1.212,253235570.3,304882047.6727
2022-04-05,1.212,1.219,1.163,1.171,108831679.5,130155835.1592
2022-04-06,1.17,1.173,1.047,1.052,206766772.7,229948472.4843
2022-04-07,1.052,1.101,1.038,1.089,99287570.5,106736899.8868
