date,open,high,low,close,volume,quote_volume,type,candle_body,high_low_range,MA_7,MA_30,moving_1d,volatility_7,volumelast7,z_score,tomorrow_close,tomorrow_return
2021-08-29,0.286,0.2918,0.2764,0.2809,758831427.0,214101374.1037,DOGE,-0.005099999999999993,0.015400000000000025,0.28981714285714283,0.2703393333333333,-1.783216783216781,6.404763575885251,0.5230422370972081,0.23779228307228178,0.272,-3.168387326450681
2021-08-30,0.2809,0.2905,0.2698,0.272,994923907.0,277765719.4784,DOGE,-0.008899999999999963,0.020699999999999996,0.28327,0.2724843333333334,-3.168387326450681,6.33392623981789,0.7481922250237738,-0.011315136321123336,0.2781,2.242647058823527
2021-08-31,0.2719,0.286,0.2696,0.2781,994391602.0,275796352.7792,DOGE,0.006200000000000039,0.01639999999999997,0.2817642857142857,0.27494633333333335,2.242647058823527,5.614078102982042,0.8737620094435307,0.07725480570506087,0.2943,5.8252427184465985
2021-09-01,0.2782,0.295,0.2728,0.2943,1077645215.0,306153073.6131,DOGE,0.016100000000000003,0.022199999999999998,0.2820142857142857,0.2779806666666667,5.8252427184465985,6.081333999869497,1.0214221808966752,0.4224007540822704,0.2947,0.13591573224601136
2021-09-02,0.2944,0.31,0.2917,0.2947,1859879704.7,559826638.10634,DOGE,0.00030000000000002247,0.018299999999999983,0.28577142857142857,0.28126199999999996,0.13591573224601136,4.824369563718274,1.6597638731639401,0.37844408708064065,0.2961,0.4750593824227882
2021-09-03,0.2946,0.3047,0.287,0.2961,1248795134.0,370327334.0621,DOGE,0.0015000000000000013,0.01770000000000005,0.2860142857142857,0.2844143333333333,0.4750593824227882,3.1743132033415584,1.1282774708138372,0.36253923433097346,0.2992,1.0469436001351056
2021-09-04,0.2961,0.3087,0.2929,0.2992,1170386591.0,351086766.7671,DOGE,0.003100000000000047,0.01579999999999998,0.2879,0.28768933333333335,1.0469436001351056,2.894407179573849,1.0108394994956111,0.40819468957142485,0.3143,5.046791443850268
2021-09-05,0.2993,0.3155,0.296,0.3143,1273101183.7,388890887.956927,DOGE,0.015000000000000013,0.019500000000000017,0.2926714285714286,0.2913386666666667,5.046791443850268,3.0706982002726715,1.0339460217758365,0.9625735650227145,0.309,-1.686286986955147
2021-09-06,0.3144,0.3199,0.2997,0.309,1327741283.1,411842890.431976,DOGE,-0.005400000000000016,0.020199999999999996,0.29795714285714286,0.292909,-1.686286986955147,2.712696053533075,1.0382317398152414,0.6878008592257161,0.2552,-17.41100323624596
2021-09-07,0.3091,0.3114,0.2145,0.2552,4143609594.1,1093324011.936163,DOGE,-0.0539,0.09690000000000001,0.29468571428571433,0.293417,-17.41100323624596,7.752085551532252,2.396899988203391,-1.7101257395831615,0.2567,0.587774294670847
2021-09-08,0.2553,0.2635,0.2332,0.2567,2036725778.0,510772656.434,DOGE,0.0013999999999999568,0.03030000000000002,0.2893142857142857,0.29343733333333333,0.587774294670847,7.2253580213307504,1.0916400651462412,-1.6464840503632714,0.2525,-1.6361511492013951
2021-09-09,0.2566,0.2597,0.2486,0.2525,972908690.0,247597398.9575,DOGE,-0.0040999999999999925,0.011099999999999999,0.28328571428571425,0.29327666666666663,-1.6361511492013951,7.1817810652086065,0.5594521280526399,-1.8045029680934412,0.2397,-5.069306930693072
2021-09-10,0.2525,0.262,0.2353,0.2397,1039971873.0,256488140.4472,DOGE,-0.012800000000000006,0.0267,0.27522857142857143,0.29245166666666667,-5.069306930693072,7.176831374242374,0.6084530553084591,-2.189912124092686,0.241,0.5423445974134317
2021-09-11,0.2398,0.2479,0.2376,0.241,574961334.0,139714407.491,DOGE,0.0011999999999999789,0.010300000000000004,0.2669142857142857,0.2916846666666667,0.5423445974134317,7.134965463703746,0.3540084749163638,-1.9987493986732623,0.2502,3.81742738589211
2021-09-12,0.241,0.2551,0.2387,0.2502,824439503.0,203304943.3593,DOGE,0.009199999999999986,0.016399999999999998,0.25775714285714285,0.290469,3.81742738589211,6.921459643836651,0.5284695329428286,-1.5220404591867434,0.2358,-5.755395683453226
2021-09-13,0.2504,0.2523,0.2281,0.2358,1194502511.0,283614884.6006,DOGE,-0.014600000000000002,0.024200000000000027,0.24730000000000002,0.28852833333333333,-5.755395683453226,6.965497704688492,0.7751390670259715,-1.8657287034534924,0.2406,2.0356234096692107
2021-09-14,0.2359,0.2417,0.2335,0.2406,600777341.0,142920878.2602,DOGE,0.00470000000000001,0.008199999999999985,0.24521428571428575,0.2852203333333333,2.0356234096692107,3.5723274807135805,0.5805183270050523,-1.6019671333962664,0.2476,2.9093931837073894
2021-09-15,0.2406,0.2484,0.2388,0.2476,624731884.0,151898288.6084,DOGE,0.0069999999999999785,0.009599999999999997,0.24391428571428572,0.2828216666666667,2.9093931837073894,3.819941093847707,0.7498119669271712,-1.2627546711350273,0.2418,-2.34248788368336
2021-09-16,0.2477,0.2479,0.2329,0.2418,767085717.0,185504087.1676,DOGE,-0.005900000000000016,0.015000000000000013,0.24238571428571426,0.280904,-2.34248788368336,3.8655262363270606,0.9543461288235041,-1.3632212644449033,0.2401,-0.7030603804797267
2021-09-17,0.2419,0.2599,0.2373,0.2401,1532347235.0,379559281.6859,DOGE,-0.001799999999999996,0.02260000000000001,0.24244285714285715,0.27880066666666664,-0.7030603804797267,3.330292231901332,1.7530154342309532,-1.3208161463146333,0.2413,0.4997917534360595
2021-09-18,0.2401,0.2474,0.2379,0.2413,532008968.0,129164187.2491,DOGE,0.0011999999999999789,0.009500000000000008,0.24248571428571428,0.27625133333333335,0.4997917534360595,3.3293292436661335,0.6129243353273388,-1.2003040462033618,0.2331,-3.3982594280977976
